Land,Klicks,Impressionen,CTR,Position
USA,146,1023,14.27%,9.84
Vietnam,39,232,16.81%,9.32
Deutschland,36,279,12.9%,6.76
Vereinigtes Königreich,34,380,8.95%,10.27
Australien,29,165,17.58%,8.95
Kanada,23,198,11.62%,7.61
Spanien,19,158,12.03%,9.53
Philippinen,19,150,12.67%,9.32
Brasilien,19,105,18.1%,9.63
Polen,19,103,18.45%,8.62
Indien,18,173,10.4%,10.84
Italien,16,111,14.41%,8.81
Türkei,15,66,22.73%,8.65
Südkorea,12,36,33.33%,6.58
Frankreich,11,153,7.19%,8.39
Thailand,8,28,28.57%,5.32
Israel,6,69,8.7%,7.58
Russland,6,24,25%,6.38
Niederlande,5,81,6.17%,8.26
Indonesien,5,73,6.85%,12.86
Ukraine,5,33,15.15%,7.45
Bangladesch,5,26,19.23%,13.54
Belgien,4,32,12.5%,7.44
Vereinigte Arabische Emirate,4,29,13.79%,7.34
Singapur,4,29,13.79%,8.03
Rumänien,4,26,15.38%,9
Palästina,4,19,21.05%,8.42
Tschechien,4,12,33.33%,6.5
Peru,4,8,50%,4
Irland,3,35,8.57%,9.03
Malaysia,3,35,8.57%,11.4
Portugal,3,26,11.54%,7.65
Saudi-Arabien,3,21,14.29%,8.86
Schweiz,3,19,15.79%,6.32
Neuseeland,3,17,17.65%,9.82
Nepal,3,7,42.86%,7.86
Pakistan,2,54,3.7%,12.98
Schweden,2,53,3.77%,8.98
Sri Lanka,2,29,6.9%,9.14
Ägypten,2,29,6.9%,11.34
Mexiko,2,27,7.41%,12.67
Serbien,2,23,8.7%,8.22
Slowakei,2,16,12.5%,5.62
Algerien,2,16,12.5%,10.31
Georgien,2,15,13.33%,9.2
Dominikanische Republik,2,14,14.29%,7.36
Irak,2,12,16.67%,8.92
Bulgarien,2,11,18.18%,8.64
Bahrain,2,9,22.22%,7.33
Mongolei,2,7,28.57%,6.43
Südafrika,2,7,28.57%,7.14
China,2,5,40%,7.4
Bosnien und Herzegowina,2,3,66.67%,4
Dänemark,1,59,1.69%,8.49
Ungarn,1,52,1.92%,9.08
Norwegen,1,41,2.44%,10.85
Marokko,1,34,2.94%,18.56
Griechenland,1,33,3.03%,8.24
Iran,1,26,3.85%,8.04
Hongkong,1,24,4.17%,9.67
Finnland,1,19,5.26%,8.79
Argentinien,1,18,5.56%,12.28
Chile,1,11,9.09%,7.27
Japan,1,9,11.11%,8.56
Kuwait,1,8,12.5%,7
Venezuela,1,8,12.5%,9.5
Estland,1,6,16.67%,7
Myanmar,1,4,25%,7.25
Aserbaidschan,1,4,25%,10.5
Kambodscha,1,3,33.33%,7
El Salvador,1,3,33.33%,9.33
Puerto Rico,1,3,33.33%,11.33
Island,1,2,50%,3
Oman,1,2,50%,4.5
Guam,1,1,100%,1
Mauritius,1,1,100%,2
Österreich,0,34,0%,9.5
Republik Moldau,0,30,0%,9.37
Zypern,0,15,0%,8.8
Lettland,0,13,0%,8.15
Taiwan,0,11,0%,8
Kolumbien,0,10,0%,13.2
Katar,0,9,0%,8.89
Armenien,0,7,0%,7.14
Jordanien,0,7,0%,8.86
Tunesien,0,7,0%,9.29
Kenia,0,6,0%,4.17
Macau,0,6,0%,8.83
Syrien,0,6,0%,9.17
Costa Rica,0,5,0%,8.4
Kasachstan,0,5,0%,9.4
Usbekistan,0,5,0%,9.8
Litauen,0,5,0%,11.8
Nigeria,0,5,0%,21.2
Curaçao,0,3,0%,7.33
Albanien,0,3,0%,7.67
Panama,0,3,0%,8.67
Ecuador,0,3,0%,12.33
Bolivien,0,2,0%,5
Kroatien,0,2,0%,7.5
Somalia,0,2,0%,8.5
Guyana,0,2,0%,9
Äthiopien,0,2,0%,9.5
Kosovo,0,2,0%,9.5
Belarus,0,2,0%,11
Jamaika,0,2,0%,26.5
Belize,0,1,0%,1
Kirgisistan,0,1,0%,1
Brunei,0,1,0%,7
Ghana,0,1,0%,8
Mazedonien,0,1,0%,9
Fidschi,0,1,0%,10
Jersey,0,1,0%,10
Libanon,0,1,0%,10
Malta,0,1,0%,10
Slowenien,0,1,0%,10
Uruguay,0,1,0%,10
Suriname,0,1,0%,11
Kuba,0,1,0%,13
Côte d’Ivoire,0,1,0%,49
